GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
VAMP8	1179	947	839	1443	926	581	747	3824	1041	2898	2146
VANGL1	1832	1789	1051	2595	1526	902	767	2604	929	2601	1245
VANGL2	1133	1002	862	1896	1266	765	705	493	180	1267	549
VAPA	3939	4158	2578	4559	3028	1459	2549	4736	5180	4130	1993
VAPB	1812	1672	1192	2060	1152	686	1045	2346	2266	2300	1033
VARS	1911	1943	903	2483	1538	864	724	7660	2279	6964	3016
VARS2	916	1114	641	1258	739	438	589	1242	1015	1113	507
VASH1	22	30	40	42	24	19	29	38	4	69	13
VASH2	40	34	18	28	18	7	31	16	0	14	3
VASN	144	209	132	685	434	262	149	335	369	476	290
VASP	1145	1084	599	2598	1817	1134	439	6342	7438	4324	2654
VAT1	1631	1689	756	2262	1942	910	606	6965	8701	8638	5236
VAT1L	0	0	2	0	0	1	0	0	0	0	0
VAV1	440	504	400	584	305	187	343	924	40	84	26
VAV2	1067	1104	751	2215	1281	1010	848	5274	2274	4389	1810
VAV3	916	800	723	1407	990	480	652	204	284	404	157
VAV3-AS1	0	0	0	0	0	0	0	0	0	0	0
VAX1	0	0	0	1	1	0	0	3	0	0	0
VAX2	0	1	1	4	0	1	0	0	4	1	0
VBP1	397	392	219	436	299	170	208	1692	1989	1633	723
VCAM1	1	0	6	3	0	0	0	0	1	0	0
VCAN	872	833	928	273	144	72	1139	5070	622	6678	1785
VCL	1615	2089	937	5246	3984	1826	985	5656	3460	5984	3542
VCP	7411	7644	4233	9228	6323	3037	3579	16134	10120	14616	7577
VCPIP1	2482	2731	1352	3952	2799	1472	1195	691	1505	754	330
VCPKMT	159	138	90	217	184	81	153	126	92	149	68
VCX	0	0	1	4	3	0	0	0	0	0	0
VCX2	1	0	0	3	0	0	2	0	0	0	0
VCX3A	0	0	0	1	2	0	1	0	2	0	0
VCX3B	0	0	4	4	0	0	2	1	0	0	0
VCY	0	0	0	0	0	0	0	0	0	0	0
